Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
203,Tommaso Barbieri,it ITA,MF,Cremonese,it Serie A,23.0,2002,13.8,,18,,,,,,,,,,12,,,,Matches
204,Valentín Barco,ar ARG,MF,Strasbourg,fr Ligue 1,21.0,2004,17.8,,28,,,,,,,,,,11,,,,Matches
205,Bradley Barcola,fr FRA,FW,Paris Saint-Germain,fr Ligue 1,23.0,2002,12.0,,10,,,,,,,,,,7,,,,Matches
206,Melvin Bard,fr FRA,"DF,MF",Nice,fr Ligue 1,25.0,2000,16.8,,17,,,,,,,,,,19,,,,Matches
207,Roony Bardghji,se SWE,MF,Barcelona,es La Liga,20.0,2005,3.1,,1,,,,,,,,,,0,,,,Matches
208,Nicolò Barella,it ITA,MF,Inter,it Serie A,29.0,1997,18.6,,21,,,,,,,,,,4,,,,Matches
209,Kike Barja,es ESP,MF,Osasuna,es La Liga,28.0,1997,2.3,,2,,,,,,,,,,0,,,,Matches
210,Ross Barkley,eng ENG,MF,Aston Villa,eng Premier League,32.0,1993,1.8,,4,,,,,,,,,,2,,,,Matches
211,Ashley Barnes,eng ENG,"FW,MF",Burnley,eng Premier League,36.0,1989,0.1,,0,,,,,,,,,,0,,,,Matches
212,Harvey Barnes,eng ENG,FW,Newcastle United,eng Premier League,28.0,1997,15.4,,4,,,,,,,,,,2,,,,Matches
213,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,es La Liga,24.0,2001,12.2,,6,,,,,,,,,,11,,,,Matches
214,Pablo Barrios,es ESP,MF,Atlético Madrid,es La Liga,22.0,2003,17.5,,15,,,,,,,,,,23,,,,Matches
215,Thierno Barry,fr FRA,FW,Everton,eng Premier League,23.0,2002,16.6,,1,,,,,,,,,,4,,,,Matches
216,Davide Bartesaghi,it ITA,MF,Milan,it Serie A,20.0,2005,16.4,,25,,,,,,,,,,9,,,,Matches
217,Marc Bartra,es ESP,DF,Real Betis,es La Liga,35.0,1991,17.6,,17,,,,,,,,,,26,,,,Matches
218,Federico Baschirotto,it ITA,DF,Cremonese,it Serie A,29.0,1996,25.0,,13,,,,,,,,,,20,,,,Matches
219,Toma Bašić,hr CRO,MF,Lazio,it Serie A,29.0,1996,13.0,,12,,,,,,,,,,7,,,,Matches
220,Calvin Bassey,ng NGA,DF,Fulham,eng Premier League,26.0,1999,16.2,,15,,,,,,,,,,13,,,,Matches
221,Alessandro Bastoni,it ITA,DF,Inter,it Serie A,26.0,1999,20.6,,31,,,,,,,,,,18,,,,Matches
222,Augusto Batalla,ar ARG,GK,Rayo Vallecano,es La Liga,29.0,1996,23.0,,1,,,,,,,,,,0,,,,Matches
223,Michy Batshuayi,be BEL,FW,Eintracht Frankfurt,de Bundesliga,32.0,1993,1.5,,1,,,,,,,,,,0,,,,Matches
224,Martin Baturina,hr CRO,"MF,FW",Como,it Serie A,23.0,2003,7.3,,6,,,,,,,,,,4,,,,Matches
225,Daniel Batz,de GER,GK,Mainz 05,de Bundesliga,35.0,1991,10.0,,0,,,,,,,,,,0,,,,Matches
226,Elias Baum,de GER,DF,Eintracht Frankfurt,de Bundesliga,20.0,2005,0.1,,0,,,,,,,,,,0,,,,Matches
227,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,35.0,1990,22.0,,0,,,,,,,,,,0,,,,Matches
228,Christoph Baumgartner,at AUT,MF,RB Leipzig,de Bundesliga,26.0,1999,18.9,,23,,,,,,,,,,12,,,,Matches
229,Altay Bayındır,tr TUR,GK,Manchester Utd,eng Premier League,27.0,1998,6.0,,0,,,,,,,,,,0,,,,Matches
230,Vakoun Bayo,ci CIV,FW,Udinese,it Serie A,29.0,1997,4.7,,1,,,,,,,,,,0,,,,Matches
231,Ihlas Bebou,tg TOG,"FW,MF",Hoffenheim,de Bundesliga,31.0,1994,1.9,,1,,,,,,,,,,3,,,,Matches
232,Samu Becerra,es ESP,MF,Rayo Vallecano,es La Liga,20.0,2006,0.1,,0,,,,,,,,,,0,,,,Matches
233,Adrian Beck,de GER,MF,Heidenheim,de Bundesliga,28.0,1997,8.3,,15,,,,,,,,,,2,,,,Matches
234,Sheraldo Becker,sr SUR,"FW,MF",Osasuna,es La Liga,31.0,1995,1.8,,1,,,,,,,,,,3,,,,Matches
235,Sheraldo Becker,sr SUR,"FW,MF",Mainz 05,de Bundesliga,31.0,1995,0.7,,0,,,,,,,,,,0,,,,Matches
236,Donny van de Beek,nl NED,MF,Girona,es La Liga,28.0,1997,0.5,,0,,,,,,,,,,0,,,,Matches
237,Tjaš Begić,si SVN,MF,Parma,it Serie A,22.0,2003,0.0,,0,,,,,,,,,,0,,,,Matches
238,Hannes Behrens,de GER,MF,Heidenheim,de Bundesliga,21.0,2005,3.1,,6,,,,,,,,,,1,,,,Matches
239,Maximilian Beier,de GER,"MF,FW",Dortmund,de Bundesliga,23.0,2002,12.6,,8,,,,,,,,,,4,,,,Matches
240,Ismael Bekhoucha,ma MAR,DF,Getafe,es La Liga,21.0,2004,1.4,,5,,,,,,,,,,2,,,,Matches
241,Reda Belahyane,ma MAR,MF,Lazio,it Serie A,21.0,2004,4.3,,5,,,,,,,,,,2,,,,Matches
242,Rafik Belghali,dz ALG,MF,Hellas Verona,it Serie A,23.0,2002,12.5,,8,,,,,,,,,,11,,,,Matches
243,Haris Belkebla,dz ALG,MF,Angers,fr Ligue 1,32.0,1994,20.4,,29,,,,,,,,,,17,,,,Matches
244,Yassin Belkhdim,fr FRA,MF,Angers,fr Ligue 1,24.0,2002,19.7,,35,,,,,,,,,,26,,,,Matches
245,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,34.0,1991,11.5,,6,,,,,,,,,,19,,,,Matches
246,Armel Bella Kotchap,de GER,DF,Hellas Verona,it Serie A,24.0,2001,12.4,,8,,,,,,,,,,25,,,,Matches
247,Raoul Bellanova,it ITA,"MF,DF",Atalanta,it Serie A,25.0,2000,11.2,,6,,,,,,,,,,8,,,,Matches
248,Jean-Ricner Bellegarde,ht HAI,"MF,FW",Wolves,eng Premier League,27.0,1998,8.1,,12,,,,,,,,,,6,,,,Matches
249,Héctor Bellerín,es ESP,DF,Real Betis,es La Liga,30.0,1995,12.0,,6,,,,,,,,,,7,,,,Matches
250,Jobe Bellingham,eng ENG,MF,Dortmund,de Bundesliga,20.0,2005,10.3,,12,,,,,,,,,,30,,,,Matches
251,Jude Bellingham,eng ENG,MF,Real Madrid,es La Liga,22.0,2003,14.3,,31,,,,,,,,,,12,,,,Matches
252,Jeanuël Belocian,fr FRA,DF,Wolfsburg,de Bundesliga,20.0,2005,2.0,,2,,,,,,,,,,1,,,,Matches
253,Jeanuël Belocian,fr FRA,DF,Leverkusen,de Bundesliga,20.0,2005,3.2,,2,,,,,,,,,,2,,,,Matches
254,Andrea Belotti,it ITA,FW,Cagliari,it Serie A,32.0,1993,2.1,,0,,,,,,,,,,3,,,,Matches
255,Fran Beltrán,es ESP,MF,Girona,es La Liga,27.0,1999,2.5,,6,,,,,,,,,,1,,,,Matches
256,Fran Beltrán,es ESP,MF,Celta Vigo,es La Liga,27.0,1999,5.9,,5,,,,,,,,,,8,,,,Matches
257,Lucas Beltrán,ar ARG,FW,Valencia,es La Liga,24.0,2001,12.2,,8,,,,,,,,,,4,,,,Matches
258,Eliesse Ben Seghir,ma MAR,MF,Monaco,fr Ligue 1,21.0,2005,0.5,,0,,,,,,,,,,0,,,,Matches
259,Eliesse Ben Seghir,ma MAR,MF,Leverkusen,de Bundesliga,21.0,2005,2.2,,1,,,,,,,,,,1,,,,Matches
260,Carlos Benavídez,uy URU,DF,Alavés,es La Liga,27.0,1998,2.4,,2,,,,,,,,,,3,,,,Matches
261,Adrian Benedyczak,pl POL,FW,Parma,it Serie A,25.0,2000,5.4,,6,,,,,,,,,,1,,,,Matches
262,Yassine Benhattab,fr FRA,"MF,FW",Nantes,fr Ligue 1,23.0,2002,5.3,,6,,,,,,,,,,0,,,,Matches
263,Iker Benito,es ESP,MF,Osasuna,es La Liga,23.0,2002,1.7,,0,,,,,,,,,,2,,,,Matches
264,Mohamed Benoit Dao,fr FRA,FW,Paris FC,fr Ligue 1,19.0,2007,0.0,,0,,,,,,,,,,0,,,,Matches
265,Ramy Bensebaini,dz ALG,DF,Dortmund,de Bundesliga,30.0,1995,10.5,,8,,,,,,,,,,10,,,,Matches
266,Nabil Bentaleb,dz ALG,MF,Lille,fr Ligue 1,31.0,1994,8.1,,2,,,,,,,,,,5,,,,Matches
267,Rodrigo Bentancur,uy URU,MF,Tottenham Hotspur,eng Premier League,28.0,1997,15.7,,21,,,,,,,,,,24,,,,Matches
268,Lucas Beraldo,br BRA,DF,Paris Saint-Germain,fr Ligue 1,22.0,2003,8.1,,7,,,,,,,,,,6,,,,Matches
269,Domenico Berardi,it ITA,FW,Sassuolo,it Serie A,31.0,1994,12.8,,10,,,,,,,,,,13,,,,Matches
270,Yuri Berchiche,es ESP,DF,Athletic Club,es La Liga,36.0,1990,19.5,,20,,,,,,,,,,24,,,,Matches
271,Álex Berenguer,es ESP,MF,Athletic Club,es La Liga,30.0,1995,16.1,,9,,,,,,,,,,8,,,,Matches
272,Sander Berge,no NOR,MF,Fulham,eng Premier League,28.0,1998,24.0,,32,,,,,,,,,,19,,,,Matches
273,Lucas Bergström,fi FIN,GK,Mallorca,es La Liga,23.0,2002,5.0,,0,,,,,,,,,,0,,,,Matches
274,Lucas Bergvall,se SWE,MF,Tottenham Hotspur,eng Premier League,20.0,2006,8.9,,12,,,,,,,,,,2,,,,Matches
275,Medon Berisha,al ALB,MF,Lecce,it Serie A,22.0,2003,9.7,,12,,,,,,,,,,5,,,,Matches
276,Anthony Bermont,fr FRA,FW,Lens,fr Ligue 1,21.0,2005,0.7,,0,,,,,,,,,,3,,,,Matches
277,Adrian Bernabe,es ESP,MF,Parma,it Serie A,24.0,2001,21.8,,19,,,,,,,,,,11,,,,Matches
278,Marc Bernal,es ESP,MF,Barcelona,es La Liga,18.0,2007,2.2,,5,,,,,,,,,,0,,,,Matches
279,Gabin Bernardeau,fr FRA,MF,Nice,fr Ligue 1,20.0,2006,0.7,,3,,,,,,,,,,0,,,,Matches
280,Federico Bernardeschi,it ITA,"MF,FW",Bologna,it Serie A,32.0,1994,7.0,,5,,,,,,,,,,2,,,,Matches
281,Bernardo,br BRA,DF,Hoffenheim,de Bundesliga,30.0,1995,17.5,,30,,,,,,,,,,28,,,,Matches
282,Lorenzo Bernasconi,it ITA,MF,Atalanta,it Serie A,22.0,2003,11.2,,14,,,,,,,,,,9,,,,Matches
283,Antoine Bernede,fr FRA,MF,Hellas Verona,it Serie A,26.0,1999,20.0,,31,,,,,,,,,,12,,,,Matches
284,Nicolò Bertola,it ITA,"DF,MF",Udinese,it Serie A,22.0,2003,16.5,,18,,,,,,,,,,18,,,,Matches
285,Jan-Niklas Beste,de GER,MF,Freiburg,de Bundesliga,27.0,1999,12.5,,16,,,,,,,,,,13,,,,Matches
286,Beto,gw GNB,FW,Everton,eng Premier League,28.0,1998,10.0,,3,,,,,,,,,,1,,,,Matches
287,Sam Beukema,nl NED,DF,Napoli,it Serie A,27.0,1998,10.7,,9,,,,,,,,,,9,,,,Matches
288,Matteo Bianchetti,it ITA,DF,Cremonese,it Serie A,32.0,1993,17.4,,22,,,,,,,,,,10,,,,Matches
289,Mika Biereth,dk DEN,FW,Monaco,fr Ligue 1,23.0,2003,10.5,,7,,,,,,,,,,0,,,,Matches
290,Pedro Bigas,es ESP,DF,Elche,es La Liga,35.0,1990,14.7,,14,,,,,,,,,,22,,,,Matches
291,Justin Bijlow,nl NED,GK,Genoa,it Serie A,28.0,1998,4.0,,0,,,,,,,,,,0,,,,Matches
292,Jaka Bijol,si SVN,DF,Leeds United,eng Premier League,27.0,1999,11.9,,9,,,,,,,,,,15,,,,Matches
293,Cristiano Biraghi,it ITA,"MF,DF",Torino,it Serie A,33.0,1992,5.2,,7,,,,,,,,,,2,,,,Matches
294,Tom Bischof,de GER,"DF,MF",Bayern Munich,de Bundesliga,20.0,2005,8.9,,9,,,,,,,,,,7,,,,Matches
295,Yves Bissouma,ml MLI,MF,Tottenham Hotspur,eng Premier League,29.0,1996,2.7,,5,,,,,,,,,,5,,,,Matches
296,Leonardo Bittencourt,de GER,MF,Werder Bremen,de Bundesliga,32.0,1993,2.2,,2,,,,,,,,,,3,,,,Matches
297,Emmanuel Biumla,fr FRA,DF,Angers,fr Ligue 1,20.0,2005,1.5,,2,,,,,,,,,,1,,,,Matches
298,Marco Bizot,nl NED,GK,Aston Villa,eng Premier League,34.0,1991,4.5,,0,,,,,,,,,,0,,,,Matches
299,Antonio Blanco,es ESP,MF,Alavés,es La Liga,25.0,2000,20.8,,34,,,,,,,,,,35,,,,Matches
300,Ludovic Blas,fr FRA,"MF,FW",Rennes,fr Ligue 1,28.0,1997,9.3,,4,,,,,,,,,,6,,,,Matches
301,Janis Blaswich,de GER,GK,Leverkusen,de Bundesliga,34.0,1991,4.3,,0,,,,,,,,,,0,,,,Matches
302,Daley Blind,nl NED,DF,Girona,es La Liga,35.0,1990,19.6,,26,,,,,,,,,,21,,,,Matches
303,Adam Boayar,ma MAR,MF,Elche,es La Liga,20.0,2005,1.1,,1,,,,,,,,,,1,,,,Matches
304,Oscar Bobb,no NOR,"MF,FW",Manchester City,eng Premier League,22.0,2003,5.2,,5,,,,,,,,,,3,,,,Matches
305,Oscar Bobb,no NOR,"FW,MF",Fulham,eng Premier League,22.0,2003,0.3,,1,,,,,,,,,,2,,,,Matches
306,Ben Bobzien,de GER,FW,Mainz 05,de Bundesliga,22.0,2003,0.1,,2,,,,,,,,,,0,,,,Matches
307,Arnaud Bodart,be BEL,GK,Lille,fr Ligue 1,27.0,1998,2.0,,0,,,,,,,,,,0,,,,Matches
308,Sacha Boey,fr FRA,DF,Bayern Munich,de Bundesliga,25.0,2000,5.1,,4,,,,,,,,,,7,,,,Matches
309,Jeremie Boga,ci CIV,"FW,MF",Juventus,it Serie A,29.0,1997,0.3,,1,,,,,,,,,,0,,,,Matches
310,Jeremie Boga,ci CIV,"MF,FW",Nice,fr Ligue 1,29.0,1997,7.2,,5,,,,,,,,,,3,,,,Matches
311,Lamare Bogarde,nl NED,"MF,DF",Aston Villa,eng Premier League,22.0,2004,7.4,,12,,,,,,,,,,2,,,,Matches
312,Jayden Bogle,eng ENG,"DF,MF",Leeds United,eng Premier League,25.0,2000,22.4,,30,,,,,,,,,,23,,,,Matches
313,Adama Boiro,es ESP,DF,Athletic Club,es La Liga,23.0,2002,5.6,,4,,,,,,,,,,13,,,,Matches
314,Morgan Bokelé Mputu,cm CMR,MF,Metz,fr Ligue 1,21.0,2004,2.5,,4,,,,,,,,,,1,,,,Matches
315,Hugo Bolin,se SWE,MF,Gladbach,de Bundesliga,22.0,2003,0.4,,0,,,,,,,,,,0,,,,Matches
316,Daniel Boloca,ro ROU,MF,Sassuolo,it Serie A,27.0,1998,1.5,,2,,,,,,,,,,2,,,,Matches
317,Moïse Bombito,ca CAN,DF,Nice,fr Ligue 1,25.0,2000,1.6,,1,,,,,,,,,,2,,,,Matches
318,Federico Bonazzoli,it ITA,FW,Cremonese,it Serie A,28.0,1997,15.6,,6,,,,,,,,,,6,,,,Matches
319,Warren Bondo,fr FRA,MF,Cremonese,it Serie A,22.0,2003,15.4,,12,,,,,,,,,,8,,,,Matches
320,Giovanni Bonfanti,it ITA,"DF,MF",Pisa,it Serie A,23.0,2003,5.5,,6,,,,,,,,,,7,,,,Matches
321,Victor Boniface,ng NGA,FW,Werder Bremen,de Bundesliga,25.0,2000,3.7,,1,,,,,,,,,,0,,,,Matches
322,Rahim Bonkano,ne NIG,DF,Oviedo,es La Liga,24.0,2002,15.7,,15,,,,,,,,,,20,,,,Matches
323,Ange-Yoan Bonny,fr FRA,FW,Inter,it Serie A,22.0,2003,6.4,,4,,,,,,,,,,1,,,,Matches
324,Thiago Borbas,uy URU,FW,Oviedo,es La Liga,23.0,2002,0.3,,0,,,,,,,,,,0,,,,Matches
325,Sebastiaan Bornauw,be BEL,DF,Leeds United,eng Premier League,26.0,1999,3.4,,2,,,,,,,,,,5,,,,Matches
326,Gennaro Borrelli,it ITA,FW,Cagliari,it Serie A,25.0,2000,11.5,,6,,,,,,,,,,3,,,,Matches
327,Olivier Boscagli,fr FRA,DF,Brighton,eng Premier League,28.0,1997,3.9,,4,,,,,,,,,,6,,,,Matches
328,Sebastián Boselli,uy URU,DF,Getafe,es La Liga,22.0,2003,0.1,,0,,,,,,,,,,0,,,,Matches
329,Sven Botman,nl NED,DF,Newcastle United,eng Premier League,26.0,2000,11.8,,7,,,,,,,,,,8,,,,Matches
330,Ayyoub Bouaddi,fr FRA,MF,Lille,fr Ligue 1,18.0,2007,16.7,,27,,,,,,,,,,19,,,,Matches
331,Badredine Bouanani,dz ALG,MF,Nice,fr Ligue 1,21.0,2004,1.0,,0,,,,,,,,,,1,,,,Matches
332,Badredine Bouanani,dz ALG,MF,Stuttgart,de Bundesliga,21.0,2004,4.9,,3,,,,,,,,,,4,,,,Matches
333,Kaïl Boudache,fr FRA,MF,Nice,fr Ligue 1,19.0,2006,1.7,,2,,,,,,,,,,3,,,,Matches
334,Hicham Boudaoui,dz ALG,MF,Nice,fr Ligue 1,26.0,1999,10.5,,7,,,,,,,,,,13,,,,Matches
335,Sofiane Boufal,ma MAR,FW,Le Havre,fr Ligue 1,32.0,1993,2.8,,5,,,,,,,,,,0,,,,Matches
336,Justin Bourgault,fr FRA,FW,Brest,fr Ligue 1,20.0,2005,0.2,,0,,,,,,,,,,1,,,,Matches
337,Jarrod Bowen,eng ENG,"MF,FW",West Ham United,eng Premier League,29.0,1996,25.9,,17,,,,,,,,,,17,,,,Matches
338,Kieron Bowie,sct SCO,FW,Hellas Verona,it Serie A,23.0,2002,1.7,,0,,,,,,,,,,0,,,,Matches
339,Lucas Boyé,ar ARG,FW,Alavés,es La Liga,29.0,1996,15.0,,20,,,,,,,,,,5,,,,Matches
340,Enzo Boyomo,cm CMR,DF,Osasuna,es La Liga,24.0,2001,18.2,,26,,,,,,,,,,11,,,,Matches
341,Rosen Bozhinov,bg BUL,DF,Pisa,it Serie A,21.0,2005,2.8,,1,,,,,,,,,,7,,,,Matches
342,Domagoj Bradarić,hr CRO,MF,Hellas Verona,it Serie A,26.0,1999,17.0,,16,,,,,,,,,,6,,,,Matches
343,Conor Bradley,nir NIR,DF,Liverpool,eng Premier League,22.0,2003,10.3,,15,,,,,,,,,,12,,,,Matches
344,Bilal Brahimi,dz ALG,"FW,MF",Nice,fr Ligue 1,25.0,2000,0.0,,0,,,,,,,,,,0,,,,Matches
345,Julian Brandt,de GER,"MF,FW",Dortmund,de Bundesliga,29.0,1996,12.0,,6,,,,,,,,,,3,,,,Matches
346,Jarrad Branthwaite,eng ENG,DF,Everton,eng Premier League,23.0,2002,2.5,,2,,,,,,,,,,3,,,,Matches
347,Lilian Brassier,fr FRA,DF,Rennes,fr Ligue 1,26.0,1999,15.0,,10,,,,,,,,,,22,,,,Matches
348,Iker Bravo,es ESP,FW,Udinese,it Serie A,21.0,2005,2.3,,1,,,,,,,,,,0,,,,Matches
349,Josip Brekalo,hr CRO,"MF,FW",Oviedo,es La Liga,27.0,1998,5.4,,7,,,,,,,,,,2,,,,Matches
350,Gleison Bremer,br BRA,DF,Juventus,it Serie A,28.0,1997,13.2,,7,,,,,,,,,,11,,,,Matches
351,Marco Brescianini,it ITA,MF,Fiorentina,it Serie A,26.0,2000,3.4,,0,,,,,,,,,,0,,,,Matches
352,Marco Brescianini,it ITA,MF,Atalanta,it Serie A,26.0,2000,2.0,,8,,,,,,,,,,2,,,,Matches
353,Abel Bretones,es ESP,"MF,DF",Osasuna,es La Liga,25.0,2000,15.4,,11,,,,,,,,,,13,,,,Matches
354,Sascha Britschgi,ch SUI,"MF,DF",Parma,it Serie A,19.0,2006,17.4,,15,,,,,,,,,,7,,,,Matches
355,Brian Brobbey,nl NED,FW,Sunderland,eng Premier League,24.0,2002,12.6,,1,,,,,,,,,,0,,,,Matches
356,Marius Broholm,no NOR,MF,Lille,fr Ligue 1,21.0,2004,3.1,,6,,,,,,,,,,2,,,,Matches
357,Armando Broja,al ALB,FW,Burnley,eng Premier League,24.0,2001,9.1,,3,,,,,,,,,,3,,,,Matches
358,David Brooks,wls WAL,MF,Bournemouth,eng Premier League,28.0,1997,10.6,,9,,,,,,,,,,3,,,,Matches
359,Nathaniel Brown,de GER,"MF,DF",Eintracht Frankfurt,de Bundesliga,22.0,2003,18.0,,37,,,,,,,,,,18,,,,Matches
360,Brugui,es ESP,"MF,FW",Levante,es La Liga,29.0,1996,10.0,,5,,,,,,,,,,3,,,,Matches
361,Paris Brunner,de GER,FW,Monaco,fr Ligue 1,20.0,2006,1.1,,1,,,,,,,,,,1,,,,Matches
362,Jacob Bruun Larsen,dk DEN,"MF,FW",Burnley,eng Premier League,27.0,1998,10.2,,3,,,,,,,,,,6,,,,Matches
363,Tajon Buchanan,ca CAN,MF,Villarreal,es La Liga,27.0,1999,14.9,,17,,,,,,,,,,19,,,,Matches
364,Ante Budimir,hr CRO,FW,Osasuna,es La Liga,34.0,1991,19.7,,12,,,,,,,,,,3,,,,Matches
365,Emi Buendía,ar ARG,MF,Aston Villa,eng Premier League,29.0,1996,12.7,,16,,,,,,,,,,4,,,,Matches
366,Hugo Bueno,es ESP,"MF,DF",Wolves,eng Premier League,23.0,2002,17.6,,21,,,,,,,,,,22,,,,Matches
367,Manu Bueno,es ESP,MF,Sevilla,es La Liga,21.0,2004,0.9,,1,,,,,,,,,,0,,,,Matches
368,Santiago Bueno,uy URU,DF,Wolves,eng Premier League,27.0,1998,16.4,,17,,,,,,,,,,17,,,,Matches
369,Louis Buffon,cz CZE,FW,Pisa,it Serie A,18.0,2007,0.4,,0,,,,,,,,,,0,,,,Matches
370,Adam Buksa,pl POL,FW,Udinese,it Serie A,29.0,1996,5.8,,3,,,,,,,,,,2,,,,Matches
371,Andrija Bulatović,me MNE,MF,Lens,fr Ligue 1,19.0,2006,4.4,,12,,,,,,,,,,6,,,,Matches
372,Marius Bülter,de GER,"FW,MF",Köln,de Bundesliga,32.0,1993,12.4,,2,,,,,,,,,,5,,,,Matches
373,Facundo Buonanotte,ar ARG,MF,Leeds United,eng Premier League,21.0,2004,0.3,,0,,,,,,,,,,1,,,,Matches
374,Facundo Buonanotte,ar ARG,MF,Chelsea,eng Premier League,21.0,2004,0.5,,0,,,,,,,,,,0,,,,Matches
375,Alessandro Buongiorno,it ITA,DF,Napoli,it Serie A,26.0,1999,16.4,,15,,,,,,,,,,20,,,,Matches
376,Livan Burcu,tr TUR,"MF,FW",Union Berlin,de Bundesliga,21.0,2004,3.2,,2,,,,,,,,,,1,,,,Matches
377,Jan Bürger,de GER,DF,Wolfsburg,de Bundesliga,18.0,2007,2.1,,3,,,,,,,,,,0,,,,Matches
378,Wouter Burger,nl NED,MF,Hoffenheim,de Bundesliga,25.0,2001,17.2,,30,,,,,,,,,,14,,,,Matches
379,Jonathan Burkardt,de GER,FW,Eintracht Frankfurt,de Bundesliga,25.0,2000,7.6,,0,,,,,,,,,,1,,,,Matches
380,Oliver Burke,sct SCO,"MF,FW",Union Berlin,de Bundesliga,28.0,1997,11.0,,3,,,,,,,,,,3,,,,Matches
381,Vincent Burlet,be BEL,DF,Lille,fr Ligue 1,20.0,2005,0.2,,0,,,,,,,,,,0,,,,Matches
382,Dan Burn,eng ENG,DF,Newcastle United,eng Premier League,33.0,1992,16.0,,18,,,,,,,,,,15,,,,Matches
383,Bradley Burrowes,eng ENG,MF,Aston Villa,eng Premier League,17.0,2008,0.2,,0,,,,,,,,,,0,,,,Matches
384,Marnon Busch,de GER,"DF,MF",Heidenheim,de Bundesliga,31.0,1994,13.5,,14,,,,,,,,,,17,,,,Matches
385,Aurélio Buta,pt POR,DF,Eintracht Frankfurt,de Bundesliga,29.0,1997,1.6,,5,,,,,,,,,,0,,,,Matches
386,Jean Butez,fr FRA,GK,Como,it Serie A,30.0,1995,24.0,,1,,,,,,,,,,0,,,,Matches
387,Jun'ai Byfield,eng ENG,DF,Tottenham Hotspur,eng Premier League,17.0,2008,0.0,,0,,,,,,,,,,0,,,,Matches
388,Sam Byram,eng ENG,"DF,MF",Leeds United,eng Premier League,32.0,1993,0.1,,0,,,,,,,,,,0,,,,Matches
389,William Bøving,dk DEN,MF,Mainz 05,de Bundesliga,22.0,2003,2.2,,1,,,,,,,,,,0,,,,Matches
390,Rémy Cabella,fr FRA,"MF,FW",Nantes,fr Ligue 1,35.0,1990,5.1,,6,,,,,,,,,,4,,,,Matches
391,Jorge Cabello,es ESP,DF,Levante,es La Liga,21.0,2004,4.0,,3,,,,,,,,,,0,,,,Matches
392,Pape Cabral,fr FRA,MF,Monaco,fr Ligue 1,19.0,2007,0.9,,1,,,,,,,,,,1,,,,Matches
393,Leandro Cabrera,uy URU,DF,Espanyol,es La Liga,34.0,1991,23.0,,14,,,,,,,,,,14,,,,Matches
394,Anthony Caci,fr FRA,MF,Mainz 05,de Bundesliga,28.0,1997,3.4,,3,,,,,,,,,,3,,,,Matches
395,Noah Cadiou,gp GLP,MF,Lorient,fr Ligue 1,27.0,1998,8.9,,8,,,,,,,,,,12,,,,Matches
396,Mathieu Cafaro,fr FRA,FW,Paris FC,fr Ligue 1,28.0,1997,1.6,,0,,,,,,,,,,0,,,,Matches
397,Moisés Caicedo,ec ECU,MF,Chelsea,eng Premier League,24.0,2001,19.7,,38,,,,,,,,,,46,,,,Matches
398,Tom Cairney,sct SCO,MF,Fulham,eng Premier League,35.0,1991,5.2,,2,,,,,,,,,,2,,,,Matches
399,Arturo Calabresi,it ITA,DF,Pisa,it Serie A,29.0,1996,10.0,,7,,,,,,,,,,14,,,,Matches
400,Riccardo Calafiori,it ITA,DF,Arsenal,eng Premier League,23.0,2002,15.0,,18,,,,,,,,,,13,,,,Matches
401,Calebe,br BRA,MF,Alavés,es La Liga,25.0,2000,7.8,,14,,,,,,,,,,7,,,,Matches
402,Fernando Calero,es ESP,DF,Espanyol,es La Liga,30.0,1995,16.6,,12,,,,,,,,,,22,,,,Matches
403,Duje Ćaleta-Car,hr CRO,DF,Real Sociedad,es La Liga,29.0,1996,12.7,,7,,,,,,,,,,17,,,,Matches
404,Hakan Çalhanoğlu,tr TUR,MF,Inter,it Serie A,32.0,1994,14.4,,13,,,,,,,,,,11,,,,Matches
405,Dominic Calvert-Lewin,eng ENG,FW,Leeds United,eng Premier League,28.0,1997,18.5,,3,,,,,,,,,,2,,,,Matches
406,Dani Calvo,es ESP,DF,Oviedo,es La Liga,31.0,1994,7.8,,6,,,,,,,,,,4,,,,Matches
407,Adama Camara,fr FRA,MF,Paris FC,fr Ligue 1,29.0,1996,16.2,,19,,,,,,,,,,17,,,,Matches
408,Amady Camara,ml MLI,FW,Nantes,fr Ligue 1,20.0,2005,1.9,,3,,,,,,,,,,1,,,,Matches
409,Dawda Camara,mr MTN,FW,Girona,es La Liga,23.0,2002,0.8,,0,,,,,,,,,,1,,,,Matches
410,Lamine Camara,sn SEN,MF,Monaco,fr Ligue 1,22.0,2004,10.4,,19,,,,,,,,,,23,,,,Matches
411,Mahdi Camara,fr FRA,MF,Rennes,fr Ligue 1,27.0,1998,17.7,,20,,,,,,,,,,17,,,,Matches
412,Ousmane Camara,ml MLI,DF,Angers,fr Ligue 1,22.0,2003,19.7,,22,,,,,,,,,,21,,,,Matches
413,Francesco Camarda,it ITA,FW,Lecce,it Serie A,17.0,2008,7.1,,1,,,,,,,,,,0,,,,Matches
